,states_not_guessed
0,Hawaii
1,Massachusetts
2,Iowa
3,Michigan
4,Connecticut
5,Nebraska
6,Arkansas
7,Oregon
8,New Jersey
9,Colorado
10,Indiana
11,California
12,Arizona
13,Kentucky
14,New York
15,Alabama
16,New Hampshire
17,Pennsylvania
18,Utah
19,Minnesota
20,Wyoming
21,Illinois
22,Missouri
23,Idaho
24,Nevada
25,Georgia
26,Delaware
27,Maryland
28,Wisconsin
29,Rhode Island
30,North Dakota
31,South Carolina
32,Montana
33,New Mexico
34,Tennessee
35,Louisiana
36,South Dakota
37,Washington
38,Mississippi
39,Florida
40,Texas
41,West Virginia
42,Oklahoma
43,Virginia
44,North Carolina
45,Vermont
46,Alaska
